path	baseline_sha256	source_sha256	i1_output_sha256	final_sha256	i1_origin	final_progression	changed_from_i0_baseline	allowed_candidate
plugins/pstack/skills/poteto-mode/playbooks/shipping.md	39b926e309e9ec4be5bb3c50432050c17347fb2906882013202dfa947fe98a30	39b926e309e9ec4be5bb3c50432050c17347fb2906882013202dfa947fe98a30	39b926e309e9ec4be5bb3c50432050c17347fb2906882013202dfa947fe98a30	39b926e309e9ec4be5bb3c50432050c17347fb2906882013202dfa947fe98a30	I0_UNCHANGED	UNCHANGED_FROM_I0_BASELINE	no	no
plugins/pstack/skills/poteto-mode/playbooks/trace-forensics.md	f8edd2ab4a3d76eb34595f4203bd8a2f35578e1285765313a9111bb564980ef6	f8edd2ab4a3d76eb34595f4203bd8a2f35578e1285765313a9111bb564980ef6	f8edd2ab4a3d76eb34595f4203bd8a2f35578e1285765313a9111bb564980ef6	f8edd2ab4a3d76eb34595f4203bd8a2f35578e1285765313a9111bb564980ef6	I0_UNCHANGED	UNCHANGED_FROM_I0_BASELINE	no	no
plugins/pstack/skills/poteto-mode/playbooks/visual-parity.md	86ce3b99c45c03af5e933e6875885985fe68ddaacc5d6fff89b39b353b29ffc5	86ce3b99c45c03af5e933e6875885985fe68ddaacc5d6fff89b39b353b29ffc5	86ce3b99c45c03af5e933e6875885985fe68ddaacc5d6fff89b39b353b29ffc5	86ce3b99c45c03af5e933e6875885985fe68ddaacc5d6fff89b39b353b29ffc5	I0_UNCHANGED	UNCHANGED_FROM_I0_BASELINE	no	no
plugins/pstack/skills/poteto-mode/playbooks/worktree-cleanup.md	4094d4b02b41b6da3f1f0002d62abd787b19ebf6035d0d7f6fc333b98ac6c8df	4094d4b02b41b6da3f1f0002d62abd787b19ebf6035d0d7f6fc333b98ac6c8df	4094d4b02b41b6da3f1f0002d62abd787b19ebf6035d0d7f6fc333b98ac6c8df	4094d4b02b41b6da3f1f0002d62abd787b19ebf6035d0d7f6fc333b98ac6c8df	I0_UNCHANGED	UNCHANGED_FROM_I0_BASELINE	no	no
plugins/pstack/skills/poteto-mode/references/agents/comment-sicko.md	3e239e40b7b4b9beb2cf7f3ccc57f2388eb8b69bd1ba8ae888ef87ef6e0e2116	3e239e40b7b4b9beb2cf7f3ccc57f2388eb8b69bd1ba8ae888ef87ef6e0e2116	3e239e40b7b4b9beb2cf7f3ccc57f2388eb8b69bd1ba8ae888ef87ef6e0e2116	3e239e40b7b4b9beb2cf7f3ccc57f2388eb8b69bd1ba8ae888ef87ef6e0e2116	I0_UNCHANGED	UNCHANGED_FROM_I0_BASELINE	no	no
plugins/pstack/skills/poteto-mode/references/agents/poteto-agent.md	31c7ea4c51a865168ca3cf66a16dd067afea35bc4ae635615372d1d6a4baefd4	31c7ea4c51a865168ca3cf66a16dd067afea35bc4ae635615372d1d6a4baefd4	31c7ea4c51a865168ca3cf66a16dd067afea35bc4ae635615372d1d6a4baefd4	31c7ea4c51a865168ca3cf66a16dd067afea35bc4ae635615372d1d6a4baefd4	I0_UNCHANGED	UNCHANGED_FROM_I0_BASELINE	no	no
plugins/pstack/skills/poteto-mode/references/bugbot-triage.md	b2d146c770d8d3593e1ef3d77b668039b8e1f78093ea1a86f1d45d7f99614309	b2d146c770d8d3593e1ef3d77b668039b8e1f78093ea1a86f1d45d7f99614309	b2d146c770d8d3593e1ef3d77b668039b8e1f78093ea1a86f1d45d7f99614309	b2d146c770d8d3593e1ef3d77b668039b8e1f78093ea1a86f1d45d7f99614309	I0_UNCHANGED	UNCHANGED_FROM_I0_BASELINE	no	no
plugins/pstack/skills/poteto-mode/references/codex-tools.md	7c36f0052f229f122794b5f43b6cb28dcd9d2eef6810d05de399f473845a76d5	7c36f0052f229f122794b5f43b6cb28dcd9d2eef6810d05de399f473845a76d5	7c36f0052f229f122794b5f43b6cb28dcd9d2eef6810d05de399f473845a76d5	7c36f0052f229f122794b5f43b6cb28dcd9d2eef6810d05de399f473845a76d5	I0_UNCHANGED	UNCHANGED_FROM_I0_BASELINE	no	no
plugins/pstack/skills/poteto-mode/references/licenses/LICENSE	bc957ca6bee02792566a1a028d105e02e247c6e77cf057061674273da77b200e	bc957ca6bee02792566a1a028d105e02e247c6e77cf057061674273da77b200e	bc957ca6bee02792566a1a028d105e02e247c6e77cf057061674273da77b200e	bc957ca6bee02792566a1a028d105e02e247c6e77cf057061674273da77b200e	I0_UNCHANGED	UNCHANGED_FROM_I0_BASELINE	no	no
plugins/pstack/skills/poteto-mode/references/licenses/LICENSE-cursor-team-kit	702f5f331b56aff0e33d8c7826df5202559f894145eb70355c6477b55b5bb8a0	702f5f331b56aff0e33d8c7826df5202559f894145eb70355c6477b55b5bb8a0	702f5f331b56aff0e33d8c7826df5202559f894145eb70355c6477b55b5bb8a0	702f5f331b56aff0e33d8c7826df5202559f894145eb70355c6477b55b5bb8a0	I0_UNCHANGED	UNCHANGED_FROM_I0_BASELINE	no	no
